freq=960.00Hz 
type, time, id, pos_x, pos_y, pos_z, rot_w, rot_x, rot_y, rot_z, cond
M, 106027083, 4, -268.245300, 816.435974, -175.007599, 1, 0, 0, 0, 4.00
M, 106027083, 5, -176.463318, 810.657959, -162.380112, 1, 0, 0, 0, 4.00
M, 106027083, 6, -152.796677, 811.590698, -163.486206, 1, 0, 0, 0, 3.52
M, 106027083, 7, -130.014679, 811.069214, -167.775711, 1, 0, 0, 0, 4.00
M, 106028125, 0, -313.137482, 818.597961, -181.397278, 1, 0, 0, 0, 4.00
M, 106028125, 1, -240.642212, 810.136169, -166.051163, 1, 0, 0, 0, 4.00
M, 106028125, 2, -316.319061, 816.928833, -223.871964, 1, 0, 0, 0, 4.00
M, 106028125, 3, -211.825867, 810.054443, -161.424362, 1, 0, 0, 0, 3.79
M, 106028125, 4, -268.244354, 816.437073, -175.008591, 1, 0, 0, 0, 4.00
M, 106028125, 5, -176.463974, 810.658752, -162.381638, 1, 0, 0, 0, 4.00
M, 106028125, 6, -152.795212, 811.593811, -163.482483, 1, 0, 0, 0, 4.00
M, 106028125, 7, -130.009827, 811.071228, -167.782471, 1, 0, 0, 0, 3.07
M, 106029167, 0, -313.131775, 818.602600, -181.391495, 1, 0, 0, 0, 3.57
M, 106029167, 1, -240.641907, 810.136292, -166.052902, 1, 0, 0, 0, 4.00
M, 106029167, 2, -316.319061, 816.927429, -223.871597, 1, 0, 0, 0, 4.00
M, 106029167, 3, -211.829895, 810.047913, -161.422516, 1, 0, 0, 0, 4.00
M, 106029167, 4, -268.241730, 816.437500, -175.017700, 1, 0, 0, 0, 3.32
M, 106029167, 5, -176.464630, 810.659607, -162.383194, 1, 0, 0, 0, 4.00
M, 106029167, 6, -152.794434, 811.593018, -163.483643, 1, 0, 0, 0, 4.00
M, 106029167, 7, -130.009430, 811.070618, -167.781372, 1, 0, 0, 0, 4.00
M, 106030208, 0, -313.132294, 818.602661, -181.393875, 1, 0, 0, 0, 4.00
M, 106030208, 1, -240.636398, 810.141602, -166.048752, 1, 0, 0, 0, 3.34
M, 106030208, 2, -316.319061, 816.926208, -223.871277, 1, 0, 0, 0, 4.00
M, 106030208, 3, -211.828812, 810.050110, -161.424362, 1, 0, 0, 0, 4.00
M, 106030208, 4, -268.240997, 816.438538, -175.017319, 1, 0, 0, 0, 4.00
M, 106030208, 5, -176.470901, 810.657715, -162.393677, 1, 0, 0, 0, 3.34
M, 106030208, 6, -152.793610, 811.592285, -163.484772, 1, 0, 0, 0, 4.00
M, 106030208, 7, -130.007950, 811.070740, -167.782089, 1, 0, 0, 0, 4.00
M, 106031250, 0, -313.131409, 818.603699, -181.394424, 1, 0, 0, 0, 4.00
M, 106031250, 1, -240.636963, 810.140930, -166.051437, 1, 0, 0, 0, 4.00
M, 106031250, 2, -316.328644, 816.928833, -223.895386, 1, 0, 0, 0, 3.55
M, 106031250, 3, -211.827774, 810.052246, -161.426178, 1, 0, 0, 0, 4.00
M, 106031250, 4, -268.239807, 816.439575, -175.019196, 1, 0, 0, 0, 4.00
M, 106031250, 5, -176.470657, 810.658936, -162.393707, 1, 0, 0, 0, 4.00
M, 106031250, 6, -152.793274, 811.594727, -163.489243, 1, 0, 0, 0, 3.52
M, 106031250, 7, -130.006516, 811.070801, -167.782806, 1, 0, 0, 0, 4.00
M, 106032292, 0, -313.130463, 818.604797, -181.394897, 1, 0, 0, 0, 4.00
M, 106032292, 1, -240.636093, 810.141541, -166.052536, 1, 0, 0, 0, 4.00
M, 106032292, 2, -316.327118, 816.926819, -223.890976, 1, 0, 0, 0, 4.00
M, 106032292, 3, -211.833557, 810.046265, -161.440338, 1, 0, 0, 0, 3.79
M, 106032292, 4, -268.238617, 816.440552, -175.021011, 1, 0, 0, 0, 4.00
M, 106032292, 5, -176.471909, 810.659424, -162.396240, 1, 0, 0, 0, 4.00
M, 106032292, 6, -152.792419, 811.593445, -163.489807, 1, 0, 0, 0, 4.00
M, 106032292, 7, -130.007202, 811.058350, -167.792343, 1, 0, 0, 0, 3.07
M, 106033333, 0, -313.132965, 818.598755, -181.389465, 1, 0, 0, 0, 3.57
M, 106033333, 1, -240.635239, 810.142212, -166.053665, 1, 0, 0, 0, 4.00
M, 106033333, 2, -316.328125, 816.925903, -223.893295, 1, 0, 0, 0, 4.00
M, 106033333, 3, -211.831406, 810.049866, -161.440094, 1, 0, 0, 0, 4.00
M, 106033333, 4, -268.234741, 816.446350, -175.016479, 1, 0, 0, 0, 3.32
M, 106033333, 5, -176.473190, 810.659973, -162.398773, 1, 0, 0, 0, 4.00
M, 106033333, 6, -152.791580, 811.593079, -163.491302, 1, 0, 0, 0, 4.00
M, 106033333, 7, -130.005386, 811.060547, -167.791595, 1, 0, 0, 0, 4.00
M, 106034375, 0, -313.131409, 818.601013, -181.390900, 1, 0, 0, 0, 4.00
M, 106034375, 1, -240.629562, 810.150269, -166.040176, 1, 0, 0, 0, 3.34
M, 106034375, 2, -316.329193, 816.924988, -223.895660, 1, 0, 0, 0, 4.00
M, 106034375, 3, -211.831116, 810.051147, -161.443314, 1, 0, 0, 0, 4.00
M, 106034375, 4, -268.233978, 816.446594, -175.019409, 1, 0, 0, 0, 4.00
M, 106034375, 5, -176.442581, 810.665588, -162.389542, 1, 0, 0, 0, 3.34
M, 106034375, 6, -152.790833, 811.592651, -163.492783, 1, 0, 0, 0, 4.00
M, 106034375, 7, -130.004196, 811.059204, -167.793289, 1, 0, 0, 0, 4.00
M, 106035417, 0, -313.130920, 818.601379, -181.390717, 1, 0, 0, 0, 4.00
M, 106035417, 1, -240.629486, 810.149719, -166.043655, 1, 0, 0, 0, 4.00
M, 106035417, 2, -316.303070, 816.926758, -223.884216, 1, 0, 0, 0, 3.55
M, 106035417, 3, -211.830811, 810.052490, -161.446472, 1, 0, 0, 0, 4.00
M, 106035417, 4, -268.232544, 816.448059, -175.020599, 1, 0, 0, 0, 4.00
M, 106035417, 5, -176.449142, 810.665161, -162.394012, 1, 0, 0, 0, 4.00
M, 106035417, 6, -152.796768, 811.596802, -163.489059, 1, 0, 0, 0, 3.52
M, 106035417, 7, -130.002945, 811.057922, -167.794998, 1, 0, 0, 0, 4.00
M, 106036458, 0, -313.130341, 818.601746, -181.390549, 1, 0, 0, 0, 4.00
M, 106036458, 1, -240.628021, 810.151489, -166.043121, 1, 0, 0, 0, 4.00
M, 106036458, 2, -316.308563, 816.925476, -223.888763, 1, 0, 0, 0, 4.00
M, 106036458, 3, -211.823563, 810.052795, -161.431747, 1, 0, 0, 0, 3.79
M, 106036458, 4, -268.231110, 816.449646, -175.021729, 1, 0, 0, 0, 4.00
M, 106036458, 5, -176.446899, 810.666260, -162.395264, 1, 0, 0, 0, 4.00
M, 106036458, 6, -152.794861, 811.595703, -163.491425, 1, 0, 0, 0, 4.00
M, 106036458, 7, -129.998413, 811.073364, -167.787872, 1, 0, 0, 0, 3.07
M, 106037500, 0, -313.135620, 818.589722, -181.390121, 1, 0, 0, 0, 3.57
M, 106037500, 1, -240.626587, 810.152954, -166.042618, 1, 0, 0, 0, 4.00
M, 106037500, 2, -316.306671, 816.924866, -223.889572, 1, 0, 0, 0, 4.00
M, 106037500, 3, -211.824371, 810.054138, -161.437881, 1, 0, 0, 0, 4.00
M, 106037500, 4, -268.228790, 816.441162, -175.032211, 1, 0, 0, 0, 3.32
M, 106037500, 5, -176.444702, 810.667358, -162.396484, 1, 0, 0, 0, 4.00
M, 106037500, 6, -152.794861, 811.595825, -163.492340, 1, 0, 0, 0, 4.00
M, 106037500, 7, -129.997696, 811.069397, -167.791000, 1, 0, 0, 0, 4.00
M, 106038542, 0, -313.134094, 818.592041, -181.389969, 1, 0, 0, 0, 4.00
M, 106038542, 1, -240.641907, 810.156250, -166.052658, 1, 0, 0, 0, 3.34
M, 106038542, 2, -316.304749, 816.924255, -223.890381, 1, 0, 0, 0, 4.00
M, 106038542, 3, -211.823364, 810.055420, -161.439117, 1, 0, 0, 0, 4.00
M, 106038542, 4, -268.227478, 816.444458, -175.031799, 1, 0, 0, 0, 4.00
M, 106038542, 5, -176.458557, 810.660278, -162.382111, 1, 0, 0, 0, 3.34
M, 106038542, 6, -152.794800, 811.595947, -163.493301, 1, 0, 0, 0, 4.00
M, 106038542, 7, -129.996109, 811.069885, -167.791748, 1, 0, 0, 0, 4.00
M, 106039583, 0, -313.134216, 818.590942, -181.389801, 1, 0, 0, 0, 4.00
M, 106039583, 1, -240.637680, 810.157471, -166.050430, 1, 0, 0, 0, 4.00
M, 106039583, 2, -316.315125, 816.920471, -223.897537, 1, 0, 0, 0, 3.55
M, 106039583, 3, -211.822311, 810.056519, -161.440399, 1, 0, 0, 0, 4.00
M, 106039583, 4, -268.225922, 816.444824, -175.033981, 1, 0, 0, 0, 4.00
M, 106039583, 5, -176.453644, 810.662720, -162.385895, 1, 0, 0, 0, 4.00
M, 106039583, 6, -152.795639, 811.595093, -163.489120, 1, 0, 0, 0, 3.52
M, 106039583, 7, -129.994568, 811.070374, -167.792465, 1, 0, 0, 0, 4.00
M, 106040625, 0, -313.134277, 818.589966, -181.389618, 1, 0, 0, 0, 4.00
M, 106040625, 1, -240.638092, 810.159241, -166.051056, 1, 0, 0, 0, 4.00
M, 106040625, 2, -316.311188, 816.920410, -223.897293, 1, 0, 0, 0, 4.00
M, 106040625, 3, -211.826904, 810.051880, -161.438126, 1, 0, 0, 0, 3.79
M, 106040625, 4, -268.224426, 816.445129, -175.036179, 1, 0, 0, 0, 4.00
M, 106040625, 5, -176.453186, 810.662842, -162.385422, 1, 0, 0, 0, 4.00
M, 106040625, 6, -152.795456, 811.595276, -163.490845, 1, 0, 0, 0, 4.00
M, 106040625, 7, -130.002640, 811.078125, -167.795853, 1, 0, 0, 0, 3.07
M, 106041667, 0, -313.133362, 818.588745, -181.392685, 1, 0, 0, 0, 3.57
M, 106041667, 1, -240.638474, 810.161011, -166.051712, 1, 0, 0, 0, 4.00
M, 106041667, 2, -316.310669, 816.919373, -223.898849, 1, 0, 0, 0, 4.00
M, 106041667, 3, -211.824966, 810.053955, -161.439972, 1, 0, 0, 0, 4.00
M, 106041667, 4, -268.228607, 816.431213, -175.020447, 1, 0, 0, 0, 3.32
M, 106041667, 5, -176.452713, 810.663025, -162.384949, 1, 0, 0, 0, 4.00
M, 106041667, 6, -152.795486, 811.595276, -163.491211, 1, 0, 0, 0, 4.00
M, 106041667, 7, -129.999420, 811.077515, -167.796127, 1, 0, 0, 0, 4.00
M, 106042708, 0, -313.133606, 818.587891, -181.391937, 1, 0, 0, 0, 4.00
M, 106042708, 1, -240.638214, 810.148193, -166.050812, 1, 0, 0, 0, 3.34
M, 106042708, 2, -316.310059, 816.918518, -223.900330, 1, 0, 0, 0, 4.00
M, 106042708, 3, -211.824554, 810.054504, -161.440811, 1, 0, 0, 0, 4.00
M, 106042708, 4, -268.226105, 816.434021, -175.025604, 1, 0, 0, 0, 4.00
M, 106042708, 5, -176.445709, 810.662598, -162.386414, 1, 0, 0, 0, 3.34
M, 106042708, 6, -152.795578, 811.595215, -163.491592, 1, 0, 0, 0, 4.00
M, 106042708, 7, -129.998947, 811.078735, -167.797134, 1, 0, 0, 0, 4.00
M, 106043750, 0, -313.133545, 818.586853, -181.392090, 1, 0, 0, 0, 4.00
M, 106043750, 1, -240.638718, 810.152283, -166.051712, 1, 0, 0, 0, 4.00
M, 106043750, 2, -316.305115, 816.930908, -223.883041, 1, 0, 0, 0, 3.55
M, 106043750, 3, -211.824142, 810.054932, -161.441696, 1, 0, 0, 0, 4.00
M, 106043750, 4, -268.225159, 816.432922, -175.025803, 1, 0, 0, 0, 4.00
M, 106043750, 5, -176.446304, 810.662964, -162.385605, 1, 0, 0, 0, 4.00
M, 106043750, 6, -152.792053, 811.594238, -163.479080, 1, 0, 0, 0, 3.52
M, 106043750, 7, -129.998444, 811.080017, -167.798187, 1, 0, 0, 0, 4.00
M, 106044792, 0, -313.133484, 818.585876, -181.392273, 1, 0, 0, 0, 4.00
M, 106044792, 1, -240.639069, 810.152466, -166.052216, 1, 0, 0, 0, 4.00
M, 106044792, 2, -316.305298, 816.927612, -223.887634, 1, 0, 0, 0, 4.00
M, 106044792, 3, -211.811142, 810.059753, -161.422241, 1, 0, 0, 0, 3.96
M, 106044792, 4, -268.224182, 816.431702, -175.026016, 1, 0, 0, 0, 4.00
